country_name,region_name,longitude,latitude,number_of_cities,region_id
Nigeria,Abia State,7.5153071,5.4540953,13,2.01
Nigeria,Adamawa,12.3881887,9.5129772,10,2.0199999999999996
Nigeria,Akwa Ibom State,7.795178277855076,4.9880607,3,2.0299999999999994
Nigeria,Anambra,6.9531842,6.2183136,3,2.039999999999999
Nigeria,Bauchi,10.0287754,10.6228284,4,2.049999999999999
Nigeria,Bayelsa State,6.028898,4.7629786,7,2.0599999999999987
Nigeria,Benue State,8.7772877,7.3505747,9,2.0699999999999985
Nigeria,Borno State,13.3080034,12.1875392,5,2.0799999999999983
Nigeria,Cross River State,8.5204774,5.8671966,4,2.089999999999998
Nigeria,Delta,6.1784167,5.5273061,16,2.099999999999998
Nigeria,Ebonyi State,8.0348906,6.1996918,6,2.1099999999999977
Nigeria,Edo,5.9722713,6.6076575,10,2.1199999999999974
Nigeria,Ekiti State,5.2738326,7.736891,3,2.1299999999999972
Nigeria,Enugu State,7.4143061,6.5536094,9,2.139999999999997
Nigeria,FCT,7.1724673,8.8311228,22,2.149999999999997
Nigeria,Gombe State,11.206567,10.38301,12,2.1599999999999966
Nigeria,Imo State,7.0669651,5.5859456,6,2.1699999999999964
Nigeria,Jigawa State,9.5103296,12.3252362,9,2.179999999999996
Nigeria,Kaduna State,7.8533226,10.3825318,5,2.189999999999996
Nigeria,Kano State,8.5364136,11.8948389,5,2.1999999999999957
Nigeria,Katsina State,7.6207063,12.5630825,5,2.2099999999999955
Nigeria,Kebbi,4.1074545,11.4167574,4,2.2199999999999953
Nigeria,Kogi State,6.6868669,7.7949602,10,2.229999999999995
Nigeria,Kwara State,4.6688487,8.8367891,6,2.239999999999995
Nigeria,Lagos,3.3941795,6.4550575,8,2.2499999999999947
Nigeria,Nasarawa State,8.2382849,8.4387868,5,2.2599999999999945
Nigeria,Niger State,5.6511088,9.9326083,8,2.2699999999999942
Nigeria,Ogun State,3.4389293,6.9788582,7,2.279999999999994
Nigeria,Ondo State,5.0567477,7.0209686,3,2.289999999999994
Nigeria,Osun State,4.4978307,7.5484047,6,2.2999999999999936
Nigeria,Oyo State,3.5642897,8.2151249,8,2.3099999999999934
Nigeria,Plateau State,9.6826289,9.0583446,4,2.319999999999993
Nigeria,Rivers State,6.8604088,4.8416028,3,2.329999999999993
Nigeria,Sokoto State,5.3152203,13.0611195,4,2.3399999999999928
Nigeria,Taraba State,10.7376336,8.0141334,4,2.3499999999999925
Nigeria,Yobe State,13.0597763,11.8521315,8,2.3599999999999923
Nigeria,Zamfara State,6.4191432,12.0078998,5,2.369999999999992
